,Category,tweet,polarity,analysis
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0.15000000000000002,Positive
1,ham,Ok lar... Joking wif u oni...,0.5,Positive
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0.30000000000000004,Positive
3,ham,U dun say so early hor... U c already then say...,0.1,Positive
4,ham,"Nah I don't think he goes to usf, he lives around here though",0.0,Neutral
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",0.30833333333333335,Positive
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,0.0,Neutral
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.0,Neutral
8,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0.0,Neutral
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0.475,Positive
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0.0,Neutral
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1.0,Positive
12,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0.5,Positive
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0.6428571428571428,Positive
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0.0,Neutral
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0.0,Neutral
16,ham,Oh k...i'm watching here:),0.5,Positive
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,-0.125,Negative
18,ham,Fine if thats the way u feel. Thats the way its gota b,0.4166666666666667,Positive
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",0.0,Neutral
20,ham,Is that seriously how you spell his name?,-0.3333333333333333,Negative
21,ham,I‘m going to try for 2 months ha ha only joking,0.0,Neutral
22,ham,So ü pay first lar... Then when is da stock comin...,0.25,Positive
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,-0.15555555555555559,Negative
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,0.0,Neutral
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,-0.12830687830687829,Negative
26,ham,Lol your always so convincing.,0.65,Positive
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0.25,Positive
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0.0,Neutral
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0.08750000000000002,Positive
